SR. NO.,ACC_X,ACC_Y,ACC_Z,ROTATION_X,ROTATION_Y,ROTATION_Z,TEMP C lm35,TEMP F lm 35,galvanic skin response,Heartrate,bpm/SpO2
13,-0.03,-0.05,0.89,-18.46,-0.86,-2.31,11.84,53.32,508,0.00,0.00
14,-0.03,-0.04,0.89,-18.46,-1.05,-2.08,13.13,55.64,511,0.00,0.00
15,-0.03,-0.04,0.89,-18.58,-1.16,-2.20,12.00,53.61,511,0.00,0.00
16,-0.03,-0.04,0.89,-18.46,-0.79,-2.13,12.49,54.48,517,0.00,0.00
17,-0.03,-0.05,0.88,-18.34,-1.10,-2.15,10.31,50.56,515,0.00,0.00
18,-0.03,-0.04,0.89,-18.46,-1.29,-2.18,15.31,59.55,509,0.00,0.00
19,-0.03,-0.05,0.88,-18.70,-0.90,-2.15,14.74,58.54,509,0.00,0.00
20,-0.03,-0.05,0.88,-18.58,-0.95,-2.05,11.60,52.88,506,0.00,0.00
21,-0.03,-0.04,0.89,-18.58,-1.02,-2.00,14.18,57.52,511,0.00,0.00
22,-0.03,-0.04,0.89,-18.46,-1.10,-2.22,11.60,52.88,513,0.00,0.00
23,-0.03,-0.05,0.89,-18.58,-0.98,-2.02,11.60,52.88,513,0.00,0.00
24,-0.03,-0.05,0.88,-18.70,-0.97,-2.15,12.17,53.90,511,0.00,0.00
25,-0.04,-0.05,0.89,-18.58,-1.02,-2.21,11.36,52.45,514,0.00,0.00
26,-0.03,-0.05,0.88,-18.34,-1.03,-2.20,11.52,52.74,508,0.00,0.00
27,-0.03,-0.05,0.89,-18.70,-0.92,-2.20,12.97,55.35,509,0.00,0.00
28,-0.03,-0.04,0.89,-18.46,-0.89,-2.36,12.97,55.35,517,0.00,0.00
29,-0.03,-0.04,0.89,-18.82,-1.13,-2.33,12.17,53.90,510,0.00,0.00
30,-0.03,-0.05,0.89,-18.46,-1.05,-2.36,11.76,53.17,511,0.00,0.00
31,-0.03,-0.05,0.89,-18.58,-1.04,-2.15,14.34,57.81,511,0.00,0.00
32,-0.03,-0.04,0.88,-18.34,-0.85,-2.08,14.42,57.96,513,0.00,0.00
33,-0.02,-0.05,0.88,-18.70,-1.18,-2.11,12.65,54.77,513,0.00,0.00
34,-0.03,-0.05,0.89,-18.46,-1.21,-2.16,11.60,52.88,508,0.00,0.00
35,-0.03,-0.04,0.88,-18.34,-1.01,-2.12,11.52,52.74,512,0.00,0.00
36,-0.03,-0.04,0.89,-18.46,-1.01,-2.30,12.57,54.62,516,0.00,0.00
37,-0.03,-0.05,0.89,-18.34,-0.81,-2.03,13.29,55.93,514,0.00,0.00
38,-0.03,-0.04,0.89,-18.46,-1.00,-2.19,14.66,58.39,515,0.00,0.00
39,-0.03,-0.04,0.88,-18.46,-1.14,-2.22,12.00,53.61,512,0.00,0.00
40,-0.03,-0.05,0.89,-18.58,-0.97,-2.37,14.18,57.52,507,0.00,0.00
41,-0.03,-0.04,0.89,-18.46,-0.89,-2.13,13.78,56.80,511,0.00,0.00
42,-0.03,-0.04,0.89,-18.34,-0.96,-2.11,12.81,55.06,509,0.00,0.00
43,-0.03,-0.04,0.89,-18.70,-1.06,-2.15,15.47,59.84,510,0.00,0.00
44,-0.03,-0.05,0.90,-18.46,-0.88,-2.09,13.21,55.78,513,0.00,0.00
45,-0.03,-0.04,0.89,-18.58,-1.15,-2.12,11.68,53.03,509,0.00,0.00
46,-0.03,-0.04,0.89,-18.34,-0.85,-2.18,12.49,54.48,510,0.00,0.00
47,-0.03,-0.05,0.88,-18.46,-0.87,-2.21,12.89,55.20,506,0.00,0.00
48,-0.02,-0.04,0.88,-18.58,-1.00,-2.13,13.86,56.94,511,0.00,0.00
49,-0.02,-0.05,0.89,-18.46,-0.88,-2.31,14.50,58.10,513,0.00,0.00
0,-0.03,-0.05,0.89,-18.46,-0.82,-2.33,11.44,52.59,510,0.00,0.00
1,-0.03,-0.05,0.89,-18.58,-1.08,-2.17,11.60,52.88,505,0.00,0.00
2,-0.03,-0.04,0.89,-18.34,-1.05,-2.42,11.04,51.87,512,0.00,0.00
3,-0.03,-0.05,0.88,-18.46,-0.93,-2.40,13.94,57.09,511,0.00,0.00
4,-0.03,-0.04,0.88,-18.46,-0.93,-2.32,12.57,54.62,509,0.00,0.00
5,-0.03,-0.05,0.89,-18.46,-0.94,-2.17,13.94,57.09,513,0.00,0.00
6,-0.03,-0.04,0.89,-18.46,-0.98,-2.40,11.60,52.88,511,0.00,0.00
7,-0.03,-0.04,0.88,-18.34,-0.95,-2.16,14.50,58.10,509,0.00,0.00
8,-0.03,-0.05,0.89,-18.58,-0.95,-2.12,12.17,53.90,516,0.00,0.00
9,-0.03,-0.04,0.89,-18.46,-0.98,-2.15,13.86,56.94,509,0.00,0.00
10,-0.03,-0.05,0.89,-18.46,-1.01,-2.18,13.13,55.64,509,0.00,0.00
11,-0.02,-0.04,0.89,-18.58,-1.15,-2.22,13.05,55.49,511,0.00,0.00
12,-0.02,-0.05,0.90,-18.70,-1.02,-2.17,11.60,52.88,513,0.00,0.00
13,-0.02,-0.05,0.89,-18.58,-1.10,-2.10,13.94,57.09,511,0.00,0.00
14,-0.03,-0.04,0.88,-18.34,-1.05,-2.26,11.60,52.88,519,0.00,0.00
15,-0.03,-0.04,0.89,-18.46,-0.76,-2.34,11.84,53.32,511,0.00,0.00
16,-0.03,-0.05,0.89,-18.46,-1.06,-2.11,11.28,52.30,506,0.00,0.00
17,-0.03,-0.04,0.89,-18.58,-0.98,-2.08,13.94,57.09,506,0.00,0.00
18,-0.03,-0.05,0.88,-18.70,-1.01,-2.10,12.97,55.35,512,0.00,0.00
19,-0.03,-0.05,0.88,-18.58,-0.94,-2.17,14.18,57.52,507,0.00,0.00
20,-0.04,-0.04,0.89,-18.70,-0.85,-2.23,11.28,52.30,510,0.00,0.00
21,-0.03,-0.04,0.89,-18.46,-0.82,-2.02,12.73,54.91,511,0.00,0.00
22,-0.03,-0.05,0.89,-18.34,-0.80,-2.16,12.17,53.90,506,0.00,0.00
23,-0.02,-0.05,0.90,-18.58,-1.10,-2.46,14.99,58.97,511,0.00,0.00
24,-0.03,-0.04,0.88,-18.58,-0.74,-2.15,11.60,52.88,511,0.00,0.00
25,-0.03,-0.05,0.89,-18.58,-1.21,-2.22,11.04,51.87,509,0.00,0.00
26,-0.03,-0.05,0.89,-18.46,-1.32,-2.04,12.08,53.75,509,0.00,0.00
27,-0.03,-0.05,0.89,-18.46,-1.14,-2.14,13.29,55.93,512,0.00,0.00
28,-0.03,-0.04,0.88,-18.58,-0.98,-1.98,10.07,50.13,509,0.00,0.00
29,-0.03,-0.05,0.90,-18.58,-0.95,-2.22,11.20,52.16,510,0.00,0.00
30,-0.03,-0.04,0.89,-18.46,-0.97,-2.14,13.86,56.94,511,0.00,0.00
31,-0.03,-0.04,0.89,-18.46,-0.85,-2.41,14.90,58.83,512,0.00,0.00
32,-0.03,-0.04,0.89,-18.46,-1.29,-2.13,11.20,52.16,509,0.00,0.00
33,-0.02,-0.05,0.88,-18.58,-1.03,-2.25,12.89,55.20,511,0.00,0.00
34,-0.03,-0.04,0.88,-18.46,-1.03,-2.11,14.42,57.96,513,0.00,0.00
35,-0.03,-0.04,0.88,-18.46,-0.99,-2.20,14.99,58.97,506,0.00,0.00
36,-0.03,-0.04,0.88,-18.58,-0.86,-2.27,14.10,57.38,514,0.00,0.00
37,-0.03,-0.04,0.89,-18.46,-0.94,-2.07,13.13,55.64,514,0.00,0.00
38,-0.03,-0.05,0.89,-18.82,-0.97,-2.41,14.66,58.39,515,0.00,0.00
39,-0.03,-0.04,0.89,-18.46,-1.11,-2.31,13.62,56.51,510,0.00,0.00
40,-0.03,-0.04,0.89,-18.21,-0.85,-2.23,14.10,57.38,505,0.00,0.00
41,-0.03,-0.04,0.90,-18.58,-0.66,-2.18,12.33,54.19,516,0.00,0.00
42,-0.03,-0.04,0.89,-18.46,-1.01,-1.98,13.37,56.07,507,0.00,0.00
43,-0.03,-0.05,0.90,-18.46,-0.75,-2.40,11.60,52.88,510,0.00,0.00
44,-0.03,-0.05,0.89,-18.58,-0.83,-2.02,11.76,53.17,507,0.00,0.00
45,-0.02,-0.04,0.89,-18.70,-1.17,-2.30,12.17,53.90,505,0.00,0.00
46,-0.03,-0.05,0.88,-18.46,-1.10,-2.05,13.94,57.09,513,0.00,0.00
47,-0.03,-0.05,0.89,-18.34,-1.07,-2.03,14.26,57.67,508,0.00,0.00
48,-0.04,-0.05,0.88,-18.70,-1.05,-2.36,17.48,63.47,513,0.00,0.00
