SR. NO.,ACC_X,ACC_Y,ACC_Z,ROTATION_X,ROTATION_Y,ROTATION_Z,TEMP C lm35,TEMP F lm 35,galvanic skin response,Heartrate,bpm/SpO2
27,-0.03,-0.05,0.89,-18.34,-1.18,-2.18,12.08,53.75,513,0.00,0.00
28,-0.04,-0.05,0.89,-18.58,-0.99,-2.10,13.37,56.07,509,0.00,0.00
29,-0.03,-0.05,0.89,-18.58,-1.08,-2.02,13.94,57.09,508,0.00,0.00
30,-0.03,-0.04,0.89,-18.46,-0.77,-2.19,11.92,53.46,509,0.00,0.00
31,-0.02,-0.05,0.89,-18.46,-1.16,-2.36,14.18,57.52,510,0.00,0.00
32,-0.03,-0.04,0.89,-18.46,-1.01,-2.19,12.81,55.06,511,0.00,0.00
33,-0.03,-0.04,0.89,-18.70,-1.05,-2.21,13.13,55.64,510,0.00,0.00
34,-0.04,-0.05,0.89,-18.58,-0.94,-2.26,14.66,58.39,514,0.00,0.00
35,-0.03,-0.05,0.89,-18.58,-1.02,-2.36,13.37,56.07,509,0.00,0.00
36,-0.03,-0.04,0.89,-18.46,-0.78,-2.31,13.29,55.93,509,0.00,0.00
37,-0.03,-0.04,0.88,-18.58,-1.06,-2.21,13.94,57.09,512,0.00,0.00
38,-0.03,-0.04,0.89,-18.34,-0.83,-2.30,13.13,55.64,510,0.00,0.00
39,-0.03,-0.05,0.89,-18.58,-0.90,-2.15,13.94,57.09,512,0.00,0.00
40,-0.02,-0.05,0.89,-18.70,-0.88,-2.13,14.26,57.67,511,0.00,0.00
41,-0.03,-0.04,0.88,-18.70,-1.03,-2.21,14.18,57.52,510,0.00,0.00
42,-0.03,-0.05,0.88,-18.46,-0.84,-2.07,11.68,53.03,510,0.00,0.00
43,-0.03,-0.05,0.88,-18.34,-0.91,-2.09,13.70,56.65,508,0.00,0.00
44,-0.03,-0.05,0.90,-18.70,-0.98,-2.23,12.97,55.35,508,0.00,0.00
45,-0.03,-0.04,0.88,-18.46,-1.05,-2.38,14.26,57.67,511,0.00,0.00
46,-0.03,-0.05,0.88,-18.46,-1.05,-2.05,13.45,56.22,511,0.00,0.00
47,-0.03,-0.05,0.88,-18.58,-1.02,-2.31,11.76,53.17,515,0.00,0.00
48,-0.04,-0.05,0.89,-18.46,-1.19,-2.34,14.18,57.52,507,0.00,0.00
49,-0.03,-0.04,0.89,-18.46,-1.12,-2.31,13.29,55.93,507,0.00,0.00
0,-0.03,-0.04,0.88,-18.82,-0.94,-2.22,14.66,58.39,511,0.00,0.00
1,-0.03,-0.04,0.88,-18.21,-1.00,-2.23,14.66,58.39,513,0.00,0.00
2,-0.03,-0.05,0.88,-18.21,-1.15,-2.05,11.28,52.30,509,0.00,0.00
3,-0.03,-0.05,0.88,-18.58,-1.21,-2.39,11.60,52.88,506,0.00,0.00
4,-0.03,-0.04,0.88,-18.82,-1.18,-2.40,11.60,52.88,510,0.00,0.00
5,-0.03,-0.05,0.88,-18.46,-1.16,-2.21,12.17,53.90,512,0.00,0.00
6,-0.03,-0.05,0.89,-18.70,-0.89,-2.34,12.17,53.90,511,0.00,0.00
7,-0.03,-0.05,0.88,-18.34,-1.11,-2.20,14.99,58.97,508,0.00,0.00
8,-0.03,-0.05,0.88,-18.46,-1.01,-2.12,12.08,53.75,513,0.00,0.00
9,-0.03,-0.04,0.89,-18.70,-1.06,-2.35,12.17,53.90,510,0.00,0.00
10,-0.02,-0.05,0.88,-18.58,-1.11,-2.22,14.18,57.52,513,0.00,0.00
11,-0.03,-0.05,0.88,-18.46,-1.04,-2.27,11.92,53.46,506,0.00,0.00
12,-0.03,-0.05,0.89,-18.46,-1.08,-2.28,11.68,53.03,507,0.00,0.00
13,-0.03,-0.04,0.89,-18.34,-0.88,-2.18,11.52,52.74,513,0.00,0.00
14,-0.04,-0.05,0.89,-18.46,-1.11,-2.21,10.63,51.14,509,0.00,0.00
15,-0.03,-0.05,0.89,-18.46,-1.04,-2.22,14.50,58.10,507,0.00,0.00
16,-0.03,-0.04,0.89,-18.58,-0.91,-2.30,12.73,54.91,504,0.00,0.00
17,-0.03,-0.05,0.88,-18.58,-1.20,-2.26,14.74,58.54,510,0.00,0.00
18,-0.03,-0.05,0.89,-18.46,-1.24,-2.46,12.41,54.33,507,0.00,0.00
19,-0.03,-0.04,0.89,-18.46,-1.00,-2.15,11.60,52.88,509,0.00,0.00
20,-0.03,-0.04,0.90,-18.58,-0.90,-2.36,12.73,54.91,511,0.00,0.00
21,-0.03,-0.05,0.89,-18.46,-1.11,-2.15,14.18,57.52,514,0.00,0.00
22,-0.03,-0.05,0.89,-18.70,-0.89,-2.11,11.60,52.88,513,0.00,0.00
23,-0.03,-0.04,0.88,-18.46,-0.95,-2.29,14.10,57.38,511,0.00,0.00
24,-0.03,-0.04,0.89,-18.82,-1.15,-2.18,13.62,56.51,509,0.00,0.00
25,-0.03,-0.04,0.88,-18.58,-1.02,-2.14,11.20,52.16,508,0.00,0.00
26,-0.03,-0.05,0.88,-18.70,-1.13,-2.31,15.23,59.41,511,0.00,0.00
27,-0.02,-0.04,0.88,-18.46,-0.94,-2.39,13.29,55.93,507,0.00,0.00
28,-0.03,-0.05,0.89,-18.58,-0.98,-2.14,11.28,52.30,512,0.00,0.00
29,-0.03,-0.04,0.88,-18.46,-1.04,-2.49,13.78,56.80,509,0.00,0.00
30,-0.03,-0.05,0.88,-18.58,-1.21,-2.21,11.76,53.17,513,0.00,0.00
31,-0.03,-0.04,0.89,-18.34,-0.79,-2.08,14.26,57.67,514,0.00,0.00
32,-0.03,-0.05,0.90,-18.70,-0.80,-2.22,15.07,59.12,512,0.00,0.00
33,-0.03,-0.05,0.89,-18.21,-1.02,-2.09,14.42,57.96,512,0.00,0.00
34,-0.03,-0.05,0.88,-18.46,-0.99,-2.35,15.07,59.12,509,0.00,0.00
35,-0.03,-0.04,0.89,-18.46,-1.19,-2.18,14.18,57.52,511,0.00,0.00
36,-0.03,-0.04,0.89,-18.34,-1.01,-2.21,15.15,59.26,507,0.00,0.00
37,-0.03,-0.04,0.89,-18.46,-1.02,-2.27,11.76,53.17,511,0.00,0.00
38,-0.03,-0.05,0.90,-18.46,-1.00,-2.21,11.84,53.32,511,0.00,0.00
39,-0.03,-0.05,0.89,-18.58,-1.24,-2.15,15.31,59.55,509,0.00,0.00
40,-0.03,-0.05,0.89,-18.58,-0.75,-2.27,14.90,58.83,513,0.00,0.00
41,-0.02,-0.05,0.89,-18.34,-0.84,-2.36,12.00,53.61,512,0.00,0.00
42,-0.03,-0.05,0.89,-18.70,-1.00,-2.26,11.12,52.01,511,0.00,0.00
43,-0.03,-0.05,0.89,-18.70,-1.29,-2.34,13.62,56.51,515,0.00,0.00
44,-0.04,-0.04,0.87,-18.34,-1.08,-2.24,11.52,52.74,508,0.00,0.00
45,-0.03,-0.05,0.89,-18.70,-0.92,-2.33,14.18,57.52,509,0.00,0.00
46,-0.03,-0.05,0.89,-18.58,-0.95,-2.21,14.18,57.52,514,0.00,0.00
47,-0.03,-0.04,0.90,-18.58,-0.99,-2.30,11.20,52.16,511,0.00,0.00
48,-0.03,-0.05,0.89,-18.46,-1.11,-2.31,12.89,55.20,509,0.00,0.00
49,-0.04,-0.04,0.89,-18.70,-0.95,-2.17,14.50,58.10,515,0.00,0.00
0,-0.03,-0.04,0.89,-18.34,-0.96,-2.27,11.84,53.32,514,0.00,0.00
1,-0.03,-0.04,0.89,-18.46,-0.99,-2.15,14.90,58.83,512,0.00,0.00
2,-0.03,-0.05,0.89,-18.34,-1.05,-2.06,13.54,56.36,512,0.00,0.00
3,-0.03,-0.04,0.89,-18.46,-1.06,-2.04,12.89,55.20,513,0.00,0.00
4,-0.03,-0.04,0.89,-18.58,-0.91,-2.21,13.45,56.22,514,0.00,0.00
5,-0.02,-0.04,0.89,-18.58,-1.04,-2.27,14.26,57.67,508,0.00,0.00
6,-0.02,-0.04,0.88,-18.46,-0.91,-1.88,14.42,57.96,510,0.00,0.00
7,-0.03,-0.04,0.90,-18.46,-0.98,-2.37,11.92,53.46,508,0.00,0.00
8,-0.02,-0.04,0.89,-18.34,-1.11,-1.97,10.88,51.58,511,0.00,0.00
9,-0.03,-0.05,0.88,-18.46,-0.83,-2.21,14.66,58.39,508,0.00,0.00
10,-0.02,-0.05,0.89,-18.46,-1.06,-2.30,12.81,55.06,508,0.00,0.00
11,-0.03,-0.04,0.89,-18.58,-0.92,-2.21,11.20,52.16,514,0.00,0.00
12,-0.03,-0.04,0.89,-18.58,-1.17,-2.09,18.29,64.92,512,0.00,0.00
13,-0.03,-0.05,0.88,-18.46,-0.98,-2.25,13.62,56.51,511,0.00,0.00
14,-0.03,-0.04,0.89,-18.58,-0.98,-2.13,14.18,57.52,507,0.00,0.00
15,-0.03,-0.04,0.89,-18.21,-1.17,-2.24,13.70,56.65,509,0.00,0.00
16,-0.03,-0.05,0.89,-18.34,-1.18,-2.01,12.65,54.77,510,0.00,0.00
17,-0.03,-0.05,0.89,-18.58,-1.14,-2.10,13.37,56.07,512,0.00,0.00
18,-0.03,-0.05,0.89,-18.46,-0.98,-2.20,14.02,57.23,516,0.00,0.00
19,-0.03,-0.04,0.89,-18.46,-1.08,-2.22,14.66,58.39,509,0.00,0.00
20,-0.03,-0.04,0.88,-18.34,-0.93,-2.10,12.33,54.19,513,0.00,0.00
21,-0.03,-0.04,0.88,-18.70,-0.93,-2.23,13.94,57.09,512,0.00,0.00
22,-0.03,-0.05,0.88,-18.34,-0.81,-2.33,11.84,53.32,510,0.00,0.00
23,-0.03,-0.04,0.89,-18.34,-1.00,-2.19,13.05,55.49,512,0.00,0.00
24,-0.03,-0.05,0.89,-18.70,-0.96,-2.02,15.95,60.71,513,0.00,0.00
25,-0.03,-0.05,0.90,-18.46,-0.96,-2.24,11.84,53.32,506,0.00,0.00
26,-0.03,-0.05,0.89,-18.58,-0.88,-2.25,11.52,52.74,509,0.00,0.00
27,-0.03,-0.04,0.89,-18.46,-1.07,-2.52,14.42,57.96,515,0.00,0.00
28,-0.03,-0.04,0.89,-18.46,-0.76,-2.27,11.36,52.45,508,0.00,0.00
29,-0.03,-0.04,0.89,-18.58,-0.89,-2.27,12.81,55.06,511,0.00,0.00
30,-0.03,-0.04,0.89,-18.46,-1.06,-2.23,14.02,57.23,515,0.00,0.00
31,-0.03,-0.04,0.88,-18.46,-1.05,-2.34,10.31,50.56,510,0.00,0.00
32,-0.02,-0.05,0.89,-18.34,-0.72,-2.18,13.13,55.64,513,0.00,0.00
33,-0.03,-0.05,0.89,-18.46,-0.97,-2.09,14.10,57.38,511,0.00,0.00
34,-0.03,-0.05,0.90,-18.46,-1.25,-2.23,11.68,53.03,511,0.00,0.00
35,-0.03,-0.05,0.89,-18.21,-0.93,-2.22,14.10,57.38,512,0.00,0.00
36,-0.03,-0.04,0.89,-18.21,-1.18,-2.12,12.65,54.77,510,0.00,0.00
37,-0.03,-0.04,0.88,-18.58,-0.93,-2.28,14.58,58.25,510,0.00,0.00
38,-0.03,-0.04,0.89,-18.46,-1.04,-2.21,13.13,55.64,513,0.00,0.00
39,-0.03,-0.05,0.89,-18.46,-0.99,-2.19,12.97,55.35,509,0.00,0.00
40,-0.03,-0.04,0.89,-18.58,-0.98,-2.13,14.66,58.39,511,0.00,0.00
41,-0.03,-0.04,0.89,-18.46,-1.02,-2.40,12.65,54.77,511,0.00,0.00
42,-0.03,-0.04,0.89,-18.46,-0.94,-2.33,13.05,55.49,509,0.00,0.00
43,-0.03,-0.04,0.88,-18.58,-1.10,-2.22,11.84,53.32,510,0.00,0.00
44,-0.03,-0.05,0.89,-18.70,-0.87,-2.24,13.45,56.22,511,0.00,0.00
45,-0.03,-0.05,0.89,-18.70,-0.96,-2.28,11.60,52.88,511,0.00,0.00
46,-0.03,-0.05,0.89,-18.70,-1.12,-2.17,14.66,58.39,508,0.00,0.00
47,-0.03,-0.05,0.89,-18.46,-1.02,-2.15,12.08,53.75,508,0.00,0.00
48,-0.02,-0.04,0.89,-18.34,-1.15,-2.18,13.37,56.07,512,0.00,0.00
49,-0.03,-0.05,0.88,-18.46,-0.97,-2.21,11.60,52.88,512,0.00,0.00
0,-0.03,-0.04,0.89,-18.46,-0.96,-2.17,11.68,53.03,508,0.00,0.00
1,-0.03,-0.05,0.89,-18.58,-0.82,-2.15,12.17,53.90,517,0.00,0.00
2,-0.04,-0.04,0.89,-18.34,-0.96,-2.05,12.65,54.77,514,0.00,0.00
3,-0.03,-0.04,0.89,-18.58,-1.11,-2.24,11.60,52.88,520,0.00,0.00
4,-0.03,-0.04,0.89,-18.46,-0.96,-2.33,12.65,54.77,512,0.00,0.00
5,-0.03,-0.04,0.89,-18.46,-1.18,-2.26,11.76,53.17,511,0.00,0.00
6,-0.03,-0.05,0.89,-18.46,-1.04,-2.24,11.68,53.03,511,0.00,0.00
7,-0.03,-0.04,0.89,-18.82,-1.00,-2.27,13.78,56.80,511,0.00,0.00
8,-0.03,-0.05,0.88,-18.46,-0.92,-2.40,14.34,57.81,515,0.00,0.00
9,-0.03,-0.04,0.88,-18.70,-0.91,-2.24,10.80,51.43,508,0.00,0.00
10,-0.03,-0.04,0.88,-18.46,-1.18,-2.22,12.57,54.62,510,0.00,0.00
11,-0.03,-0.05,0.90,-18.21,-0.83,-2.20,13.05,55.49,507,0.00,0.00
12,-0.03,-0.04,0.89,-18.58,-1.02,-2.18,11.68,53.03,510,0.00,0.00
13,-0.03,-0.05,0.89,-18.58,-0.93,-2.16,11.60,52.88,510,0.00,0.00
14,-0.03,-0.04,0.89,-18.46,-1.07,-2.12,11.20,52.16,514,0.00,0.00
15,-0.02,-0.04,0.89,-18.58,-0.97,-2.28,11.52,52.74,506,0.00,0.00
16,-0.03,-0.05,0.90,-18.70,-0.95,-2.15,11.84,53.32,510,0.00,0.00
17,-0.03,-0.05,0.89,-18.46,-1.22,-2.12,11.52,52.74,513,0.00,0.00
18,-0.03,-0.05,0.90,-18.21,-0.78,-2.03,13.86,56.94,508,0.00,0.00
19,-0.03,-0.04,0.89,-18.34,-0.93,-2.38,12.00,53.61,508,0.00,0.00
20,-0.03,-0.04,0.89,-18.70,-0.91,-2.34,14.02,57.23,506,0.00,0.00
21,-0.03,-0.05,0.89,-18.58,-0.90,-2.36,12.65,54.77,515,0.00,0.00
22,-0.03,-0.05,0.88,-18.46,-0.95,-2.08,14.10,57.38,511,0.00,0.00
23,-0.03,-0.04,0.89,-18.58,-0.99,-2.18,13.37,56.07,508,0.00,0.00
24,-0.03,-0.04,0.89,-18.58,-0.98,-2.44,14.34,57.81,510,0.00,0.00
25,-0.03,-0.04,0.89,-18.70,-0.95,-2.33,11.44,52.59,510,0.00,0.00
26,-0.03,-0.04,0.88,-18.46,-0.94,-2.03,13.45,56.22,511,0.00,0.00
27,-0.03,-0.05,0.90,-18.58,-1.11,-2.39,11.84,53.32,505,0.00,0.00
28,-0.03,-0.05,0.89,-18.58,-1.02,-2.50,11.52,52.74,512,0.00,0.00
29,-0.03,-0.04,0.89,-18.58,-0.94,-2.12,12.41,54.33,506,0.00,0.00
30,-0.03,-0.04,0.89,-18.46,-0.95,-2.27,13.37,56.07,512,0.00,0.00
31,-0.03,-0.05,0.90,-18.58,-0.94,-2.07,13.05,55.49,510,0.00,0.00
32,-0.03,-0.04,0.89,-18.58,-0.95,-2.13,11.76,53.17,513,0.00,0.00
33,-0.03,-0.05,0.89,-18.70,-1.05,-2.08,14.82,58.68,509,0.00,0.00
34,-0.03,-0.04,0.89,-18.58,-1.17,-2.24,12.08,53.75,514,0.00,0.00
35,-0.03,-0.04,0.89,-18.21,-1.25,-2.17,12.49,54.48,509,0.00,0.00
36,-0.02,-0.04,0.89,-18.46,-0.98,-2.34,14.34,57.81,511,0.00,0.00
37,-0.03,-0.05,0.89,-18.34,-0.97,-2.18,13.21,55.78,508,0.00,0.00
38,-0.03,-0.05,0.89,-18.58,-0.83,-2.27,11.84,53.32,509,0.00,0.00
39,-0.03,-0.04,0.90,-18.46,-0.88,-2.15,13.37,56.07,515,0.00,0.00
40,-0.03,-0.04,0.89,-18.21,-0.76,-2.34,12.81,55.06,508,0.00,0.00
41,-0.03,-0.05,0.89,-18.46,-1.06,-2.29,12.17,53.90,508,0.00,0.00
42,-0.03,-0.05,0.89,-18.58,-1.11,-2.05,16.11,61.00,507,0.00,0.00
43,-0.03,-0.04,0.89,-18.58,-1.02,-2.18,14.10,57.38,515,0.00,0.00
44,-0.03,-0.04,0.89,-18.46,-0.95,-1.92,12.33,54.19,510,0.00,0.00
45,-0.02,-0.05,0.88,-18.34,-0.91,-2.21,12.25,54.04,507,0.00,0.00
46,-0.04,-0.04,0.89,-18.34,-0.77,-2.24,11.84,53.32,510,0.00,0.00
47,-0.03,-0.05,0.89,-18.34,-0.99,-2.20,14.18,57.52,511,0.00,0.00
48,-0.03,-0.05,0.89,-18.58,-0.92,-2.30,13.70,56.65,511,0.00,0.00
49,-0.03,-0.04,0.89,-18.46,-0.92,-2.02,12.57,54.62,509,0.00,0.00
0,-0.03,-0.04,0.89,-18.21,-1.04,-2.31,12.57,54.62,514,0.00,0.00
1,-0.03,-0.05,0.89,-18.58,-1.16,-2.27,12.65,54.77,512,0.00,0.00
2,-0.02,-0.05,0.89,-18.46,-0.97,-2.23,12.33,54.19,514,0.00,0.00
3,-0.03,-0.05,0.88,-18.58,-1.15,-2.42,13.94,57.09,506,0.00,0.00
4,-0.03,-0.05,0.88,-18.34,-0.98,-2.24,12.00,53.61,513,0.00,0.00
5,-0.02,-0.04,0.89,-18.46,-1.01,-2.37,13.13,55.64,513,0.00,0.00
6,-0.03,-0.04,0.90,-18.46,-1.12,-2.25,14.18,57.52,508,0.00,0.00
7,-0.03,-0.04,0.89,-18.34,-0.84,-2.31,12.41,54.33,512,0.00,0.00
8,-0.03,-0.04,0.89,-18.46,-0.86,-2.26,14.18,57.52,514,0.00,0.00
9,-0.03,-0.05,0.89,-18.46,-0.99,-2.17,14.18,57.52,512,0.00,0.00
10,-0.03,-0.05,0.89,-18.34,-1.02,-2.18,12.00,53.61,509,0.00,0.00
11,-0.03,-0.04,0.89,-18.21,-1.05,-2.30,14.02,57.23,511,0.00,0.00
12,-0.03,-0.05,0.89,-18.46,-1.10,-2.19,13.94,57.09,509,0.00,0.00
13,-0.03,-0.04,0.89,-18.58,-0.93,-2.27,12.00,53.61,514,0.00,0.00
14,-0.03,-0.05,0.88,-18.34,-0.96,-2.40,14.34,57.81,512,0.00,0.00
15,-0.03,-0.04,0.89,-18.46,-0.87,-2.03,12.49,54.48,513,0.00,0.00
16,-0.03,-0.04,0.88,-18.34,-1.03,-2.21,11.84,53.32,511,0.00,0.00
17,-0.03,-0.05,0.89,-18.58,-0.82,-2.10,14.34,57.81,512,0.00,0.00
18,-0.03,-0.04,0.89,-18.46,-0.97,-2.32,12.08,53.75,510,0.00,0.00
19,-0.03,-0.05,0.88,-18.70,-0.93,-2.13,14.58,58.25,512,0.00,0.00
20,-0.03,-0.05,0.89,-18.58,-0.85,-2.21,14.26,57.67,508,0.00,0.00
21,-0.03,-0.04,0.88,-18.58,-1.02,-2.39,11.68,53.03,507,0.00,0.00
22,-0.03,-0.05,0.89,-18.46,-1.00,-2.13,14.50,58.10,510,0.00,0.00
23,-0.04,-0.04,0.89,-18.46,-1.03,-2.35,13.86,56.94,512,0.00,0.00
24,-0.03,-0.05,0.90,-18.46,-1.11,-2.35,12.97,55.35,512,0.00,0.00
25,-0.03,-0.04,0.89,-18.58,-1.05,-2.18,13.78,56.80,510,0.00,0.00
26,-0.03,-0.05,0.90,-18.58,-0.77,-2.26,14.58,58.25,515,0.00,0.00
27,-0.03,-0.04,0.89,-18.46,-1.20,-2.18,13.29,55.93,509,0.00,0.00
28,-0.03,-0.04,0.89,-18.34,-0.88,-2.38,11.60,52.88,512,0.00,0.00
29,-0.03,-0.04,0.89,-18.70,-1.00,-2.18,11.36,52.45,512,0.00,0.00
30,-0.03,-0.04,0.89,-18.34,-1.02,-2.31,14.34,57.81,511,0.00,0.00
31,-0.02,-0.04,0.89,-18.58,-0.98,-2.29,12.00,53.61,509,0.00,0.00
32,-0.03,-0.05,0.89,-18.46,-0.79,-2.31,14.02,57.23,501,0.00,0.00
33,-0.03,-0.04,0.88,-18.46,-0.96,-2.26,13.37,56.07,513,0.00,0.00
34,-0.03,-0.04,0.89,-18.58,-1.09,-2.34,15.47,59.84,508,0.00,0.00
35,-0.02,-0.04,0.88,-18.58,-0.95,-2.13,12.33,54.19,508,0.00,0.00
36,-0.03,-0.04,0.90,-18.58,-0.88,-2.05,11.68,53.03,510,0.00,0.00
37,-0.03,-0.04,0.89,-18.46,-1.00,-2.28,12.17,53.90,512,0.00,0.00
38,-0.03,-0.04,0.88,-18.46,-0.84,-2.43,12.17,53.90,512,0.00,0.00
39,-0.03,-0.04,0.88,-18.70,-1.11,-2.24,14.58,58.25,507,0.00,0.00
40,-0.03,-0.05,0.89,-18.70,-0.73,-2.26,14.10,57.38,514,0.00,0.00
41,-0.03,-0.05,0.89,-18.82,-0.95,-2.09,13.13,55.64,512,0.00,0.00
42,-0.03,-0.05,0.89,-18.46,-1.05,-2.34,14.42,57.96,510,0.00,0.00
43,-0.03,-0.04,0.88,-18.46,-0.91,-1.95,12.57,54.62,508,0.00,0.00
44,-0.03,-0.04,0.89,-18.58,-1.02,-2.37,13.86,56.94,508,0.00,0.00
45,-0.03,-0.04,0.88,-18.58,-1.00,-2.48,12.73,54.91,514,0.00,0.00
46,-0.03,-0.05,0.89,-18.34,-0.95,-2.13,14.42,57.96,506,0.00,0.00
47,-0.03,-0.04,0.89,-18.58,-1.03,-2.34,14.34,57.81,507,0.00,0.00
48,-0.03,-0.04,0.89,-18.46,-1.07,-2.13,12.65,54.77,508,0.00,0.00
49,-0.03,-0.05,0.89,-18.70,-1.21,-2.21,11.60,52.88,509,0.00,0.00
0,-0.03,-0.04,0.89,-18.82,-0.99,-2.24,12.81,55.06,511,0.00,0.00
1,-0.03,-0.05,0.89,-18.34,-1.02,-2.28,11.84,53.32,505,0.00,0.00
2,-0.03,-0.04,0.89,-18.70,-0.95,-2.06,11.60,52.88,512,0.00,0.00
3,-0.03,-0.04,0.89,-18.46,-0.98,-2.33,11.76,53.17,509,0.00,0.00
4,-0.03,-0.04,0.89,-18.21,-1.02,-2.31,11.52,52.74,513,0.00,0.00
5,-0.03,-0.05,0.89,-18.58,-1.03,-2.18,14.82,58.68,513,0.00,0.00
6,-0.03,-0.04,0.89,-18.58,-1.26,-2.37,15.07,59.12,509,0.00,0.00
7,-0.03,-0.05,0.89,-18.70,-1.10,-2.31,11.68,53.03,510,0.00,0.00
8,-0.03,-0.05,0.89,-18.21,-1.02,-2.05,14.18,57.52,509,0.00,0.00
9,-0.03,-0.04,0.88,-18.58,-1.00,-2.34,13.94,57.09,508,0.00,0.00
10,-0.02,-0.05,0.89,-18.46,-1.14,-1.94,11.84,53.32,510,0.00,0.00
11,-0.03,-0.05,0.89,-18.46,-0.97,-2.25,14.34,57.81,512,0.00,0.00
12,-0.03,-0.04,0.89,-18.58,-0.93,-2.44,14.58,58.25,506,0.00,0.00
13,-0.02,-0.05,0.88,-18.70,-1.02,-2.14,11.92,53.46,515,0.00,0.00
14,-0.03,-0.05,0.88,-18.46,-0.89,-2.18,12.17,53.90,508,0.00,0.00
15,-0.03,-0.05,0.89,-18.58,-0.82,-2.08,11.36,52.45,515,0.00,0.00
16,-0.03,-0.05,0.88,-18.46,-0.87,-2.25,12.65,54.77,515,0.00,0.00
17,-0.03,-0.05,0.89,-18.58,-0.92,-2.34,13.70,56.65,510,0.00,0.00
18,-0.03,-0.05,0.89,-18.21,-1.08,-1.92,11.68,53.03,512,0.00,0.00
19,-0.03,-0.05,0.88,-18.46,-1.15,-2.13,14.34,57.81,511,0.00,0.00
20,-0.04,-0.05,0.89,-18.21,-0.95,-2.32,13.70,56.65,508,0.00,0.00
21,-0.03,-0.05,0.89,-18.70,-1.08,-2.26,12.25,54.04,512,0.00,0.00
22,-0.03,-0.04,0.88,-18.46,-0.90,-2.48,12.97,55.35,515,0.00,0.00
23,-0.03,-0.05,0.88,-18.58,-0.99,-2.18,11.60,52.88,508,0.00,0.00
24,-0.03,-0.04,0.89,-18.34,-0.89,-2.32,13.94,57.09,512,0.00,0.00
25,-0.03,-0.05,0.89,-18.46,-1.02,-2.08,14.99,58.97,510,0.00,0.00
26,-0.03,-0.05,0.90,-18.34,-1.17,-2.44,14.10,57.38,512,0.00,0.00
27,-0.03,-0.04,0.88,-18.58,-1.05,-2.44,14.42,57.96,506,0.00,0.00
28,-0.03,-0.04,0.89,-18.46,-1.07,-2.32,14.90,58.83,509,0.00,0.00
29,-0.03,-0.05,0.88,-18.58,-0.92,-2.20,12.00,53.61,513,0.00,0.00
30,-0.03,-0.04,0.89,-18.58,-1.04,-2.03,12.41,54.33,506,0.00,0.00
31,-0.03,-0.04,0.89,-18.46,-0.81,-2.17,14.82,58.68,507,0.00,0.00
32,-0.03,-0.04,0.89,-18.46,-1.12,-2.53,14.26,57.67,510,0.00,0.00
33,-0.02,-0.05,0.89,-18.58,-0.93,-2.32,12.17,53.90,510,0.00,0.00
34,-0.03,-0.05,0.89,-18.46,-0.81,-2.16,14.26,57.67,513,0.00,0.00
35,-0.03,-0.04,0.90,-18.58,-1.02,-2.28,11.60,52.88,514,0.00,0.00
36,-0.03,-0.05,0.88,-18.46,-1.02,-2.16,11.44,52.59,507,0.00,0.00
37,-0.04,-0.04,0.89,-18.58,-1.01,-2.40,11.60,52.88,508,0.00,0.00
38,-0.03,-0.05,0.89,-18.34,-1.01,-2.32,13.37,56.07,508,0.00,0.00
39,-0.02,-0.05,0.89,-18.46,-0.98,-2.23,12.17,53.90,509,0.00,0.00
40,-0.03,-0.04,0.89,-18.46,-0.95,-2.05,14.18,57.52,512,0.00,0.00
41,-0.03,-0.04,0.88,-18.58,-0.96,-2.38,13.37,56.07,510,0.00,0.00
42,-0.04,-0.04,0.89,-18.46,-0.83,-2.19,12.81,55.06,513,0.00,0.00
43,-0.03,-0.04,0.89,-18.58,-0.93,-2.05,12.73,54.91,513,0.00,0.00
44,-0.03,-0.04,0.89,-18.58,-1.00,-2.08,12.00,53.61,509,0.00,0.00
45,-0.03,-0.05,0.89,-18.70,-0.89,-2.45,11.68,53.03,510,0.00,0.00
46,-0.03,-0.04,0.89,-18.70,-0.89,-2.38,11.68,53.03,511,0.00,0.00
47,-0.03,-0.04,0.89,-18.58,-1.26,-2.21,14.74,58.54,505,0.00,0.00
48,-0.02,-0.05,0.89,-18.58,-1.13,-2.23,14.26,57.67,517,0.00,0.00
49,-0.03,-0.04,0.89,-18.58,-0.95,-2.11,12.97,55.35,509,0.00,0.00
0,-0.03,-0.05,0.89,-18.46,-1.02,-2.19,14.26,57.67,508,0.00,0.00
1,-0.03,-0.05,0.88,-18.70,-0.82,-2.05,14.02,57.23,511,0.00,0.00
2,-0.03,-0.04,0.89,-18.34,-1.02,-2.03,14.18,57.52,507,0.00,0.00
3,-0.03,-0.05,0.89,-18.58,-1.11,-2.25,15.47,59.84,512,0.00,0.00
4,-0.02,-0.05,0.89,-18.46,-1.02,-2.27,12.81,55.06,512,0.00,0.00
5,-0.03,-0.05,0.89,-18.46,-1.02,-2.05,13.29,55.93,509,0.00,0.00
6,-0.03,-0.04,0.91,-18.46,-1.01,-2.39,10.31,50.56,511,0.00,0.00
7,-0.03,-0.04,0.90,-18.58,-1.03,-2.27,11.92,53.46,512,0.00,0.00
8,-0.03,-0.04,0.88,-18.46,-0.82,-2.28,14.18,57.52,511,0.00,0.00
9,-0.03,-0.05,0.88,-18.70,-0.96,-2.24,14.74,58.54,506,0.00,0.00
