GFORCEX,GFORCEY,GFORCEZ,ROT_X,ROT_Y,ROT_Z,GSR,HEARTRATE,SpO2 %,AMB TEMP MLX, OBJ TEMP MLX
-0.04,-0.06,0.90,-16.02,-0.96,-2.37,502,0.00,0.00,26.63,80.83
-0.05,-0.07,0.89,-16.14,-1.02,-2.08,501,0.00,0.00,26.63,80.84
